,player,team,season,plays,epa_cpoe_composite,epa_per_play,unadjusted_epa_per_play,success_rate,comp_pct,expected_comp_pct,cpoe,air_yards,mvp,epa_per_play_rank
17,J.Blake,,1999,503,0.059,0.04,0.013,43.50%,,,0,,No,17
18,B.Griese,,1999,554,0.058,0.037,0.021,43.70%,,,0,,No,18
19,D.Marino,,1999,395,0.055,0.029,-0.047,44.60%,,,0,,No,19
20,M.Tomczak,,1999,300,0.054,0.026,0.003,43.00%,,,0,,No,20
21,K.Collins,,1999,384,0.052,0.02,-0.024,45.10%,,,0,,No,21
22,J.Kitna,,1999,588,0.052,0.019,0.009,43.40%,,,0,,No,22
23,S.Matthews,,1999,312,0.049,0.013,-0.053,43.60%,,,0,,No,23
24,C.Batch,,1999,345,0.047,0.007,-0.008,41.40%,,,0,,No,24
25,K.Graham,,1999,353,0.046,0.004,-0.017,41.40%,,,0,,No,25
26,D.Huard,,1999,273,0.045,0,-0.028,38.80%,,,0,,No,26
27,T.Banks,,1999,399,0.041,-0.013,-0.03,38.80%,,,0,,No,27
28,D.Bledsoe,,1999,651,0.041,-0.014,-0.028,42.40%,,,0,,No,28
30,T.Dilfer,,1999,306,0.032,-0.047,-0.081,43.10%,,,0,,No,30
29,B.Tolliver,,1999,336,0.032,-0.047,-0.102,39.60%,,,0,,No,29
31,J.Harbaugh,,1999,538,0.03,-0.058,-0.068,39.20%,,,0,,No,31
33,J.Plummer,,1999,475,0.025,-0.094,-0.132,40.00%,,,0,,No,32
35,C.McNown,,1999,289,0.025,-0.101,-0.116,38.40%,,,0,,No,33
36,T.Couch,,1999,523,0.025,-0.102,-0.104,36.10%,,,0,,No,34
37,K.Stewart,,1999,369,0.024,-0.131,-0.151,41.50%,,,0,,No,35
34,D.McNabb,,1999,299,0.025,-0.195,-0.231,33.80%,,,0,,No,36
32,D.Pederson,,1999,275,0.026,-0.199,-0.236,36.70%,,,0,,No,37
